config_1,config_2,mean_1,mean_2,t_statistic,p_value,cohens_d,significant
Freeze blocks 0-8,Freeze blocks 0-11 (BN frozen),0.9876061999999999,0.5994056,6.778081482727004,0.002468955411347234,4.286835130325714,True
Freeze backbone+proj,Freeze blocks 0-11 (BN frozen),0.9875212000000001,0.5994056,6.776761108251596,0.0024716146911021105,4.286000052184385,True
Freeze transformer,Freeze blocks 0-11 (BN frozen),0.9827674,0.5994056,6.666859744513303,0.002480881661272821,4.216492326710057,True
Freeze transformer+proj,Freeze blocks 0-11 (BN frozen),0.9852292,0.5994056,6.735542793167402,0.00252207572566318,4.2599313007882795,True
Freeze blocks 0-3,Freeze blocks 0-11 (BN frozen),0.9822579999999999,0.5994056,6.666327798187602,0.0025260841168460047,4.216155894313623,True
Freeze blocks 0-5,Freeze blocks 0-11 (BN frozen),0.982428,0.5994056,6.681411366980935,0.0025703315615244,4.225695580839776,True
Freeze none,Freeze blocks 0-11 (BN frozen),0.976146,0.5994056,6.548380197075547,0.0026358921463390072,4.141559281500203,True
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-11 (BN frozen),0.9747876,0.5994056,6.552624467179315,0.0027907364111053536,4.144243593606776,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-11 (BN frozen),0.9641766,0.5994056,6.363872724255308,0.0030872240338957217,4.0248665096134895,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-11 (BN frozen),0.924703,0.5994056,5.671135892147252,0.004676037462083858,3.5867412679032653,True
Freeze backbone+proj+blocks 0-3,Freeze backbone+proj+blocks 0-5,0.9747876,0.9641766,3.673189889956848,0.00851812989398049,2.3231292661133773,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-3,0.9641766,0.9822579999999999,-3.6302826526171015,0.010034844387270848,-2.295992346493573,True
Freeze backbone,Freeze transformer (BN frozen),0.9882002,0.6102714,4.106751621160746,0.014763670372755677,2.59733778149138,True
Freeze blocks 0-11,Freeze transformer (BN frozen),0.9878608,0.6102714,4.1032459004264235,0.014811406422078179,2.595120569019193,True
Freeze blocks 0-8,Freeze transformer (BN frozen),0.9876061999999999,0.6102714,4.1003841116828275,0.014843303821037405,2.5933106148967937,True
Freeze backbone+proj,Freeze transformer (BN frozen),0.9875212000000001,0.6102714,4.099498810553612,0.014855190123608628,2.592750701300106,True
Freeze transformer+proj,Freeze transformer (BN frozen),0.9852292,0.6102714,4.074311296215472,0.015156682751918171,2.576820718518772,True
Freeze transformer,Freeze transformer (BN frozen),0.9827674,0.6102714,4.041516954954531,0.015387187880838227,2.5560797559688897,True
Freeze blocks 0-3,Freeze transformer (BN frozen),0.9822579999999999,0.6102714,4.037952539638789,0.015492692226194071,2.5538254217839835,True
Freeze blocks 0-5,Freeze transformer (BN frozen),0.982428,0.6102714,4.042647226764895,0.015519642943645122,2.556794602628057,True
Freeze backbone,Freeze transformer+proj (BN frozen),0.9882002,0.6883699999999999,3.9961458241203447,0.01616980334014877,2.5273845332781844,True
Freeze blocks 0-11,Freeze transformer+proj (BN frozen),0.9878608,0.6883699999999999,3.9918891841474484,0.01623575622418307,2.5246923977794506,True
Freeze blocks 0-8,Freeze transformer+proj (BN frozen),0.9876061999999999,0.6883699999999999,3.9883565329944908,0.01627916021455925,2.5224581530150174,True
Freeze backbone+proj,Freeze transformer+proj (BN frozen),0.9875212000000001,0.6883699999999999,3.987279755828105,0.01629557939446092,2.521777139339369,True
Freeze none,Freeze transformer (BN frozen),0.976146,0.6102714,3.9688901991940937,0.016324462007017686,2.5101465625145423,True
Freeze backbone+proj+blocks 0-3,Freeze transformer (BN frozen),0.9747876,0.6102714,3.960704000254023,0.016649831655070904,2.504969155708566,True
Freeze transformer+proj,Freeze transformer+proj (BN frozen),0.9852292,0.6883699999999999,3.9563202981999583,0.01670932524403161,2.5021966590936855,True
Freeze transformer,Freeze transformer+proj (BN frozen),0.9827674,0.6883699999999999,3.9147073441933498,0.017010409228061334,2.475878316127943,True
Freeze blocks 0-3,Freeze transformer+proj (BN frozen),0.9822579999999999,0.6883699999999999,3.9107889451990725,0.01716238858977111,2.473400103007297,True
Freeze blocks 0-5,Freeze transformer+proj (BN frozen),0.982428,0.6883699999999999,3.917200931056982,0.01720810440117091,2.477455398934454,True
Freeze none,Freeze transformer+proj (BN frozen),0.976146,0.6883699999999999,3.8255227273942705,0.018320893116482415,2.419473011861062,True
Freeze backbone+proj+blocks 0-5,Freeze transformer (BN frozen),0.9641766,0.6102714,3.8445828223931744,0.018338997372703707,2.4315276743842063,True
Freeze backbone+proj+blocks 0-3,Freeze transformer+proj (BN frozen),0.9747876,0.6883699999999999,3.816947344367469,0.01879850727720614,2.414049463426454,True
Freeze transformer,Freeze backbone+proj+blocks 0-5,0.9827674,0.9641766,3.2331752783804966,0.019238336823596287,2.0448395908462653,True
Freeze backbone+proj+blocks 0-5,Freeze transformer+proj (BN frozen),0.9641766,0.6883699999999999,3.6743525752537214,0.021230369289235475,2.3238646128613993,True
Freeze backbone+proj+blocks 0-8,Freeze transformer (BN frozen),0.924703,0.6102714,3.4148178963084295,0.02680159710060098,2.1597204694078656,True
Freeze backbone+proj+blocks 0-8,Freeze transformer+proj (BN frozen),0.924703,0.6883699999999999,3.147159250738081,0.03442749988077358,1.9904382783202574,True
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-5,0.9747876,0.982428,-2.517639909829655,0.04270182610238919,-1.5922952886405302,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-5 (BN frozen),0.6902378,0.565195,2.598472174331225,0.05466128286312445,1.6434181014913576,False
Freeze backbone+proj+transformer,Freeze blocks 0-5 (BN frozen),0.68455,0.565195,2.471188463308663,0.06233698773201359,1.5629168143173624,False
Freeze transformer+proj (BN frozen),Freeze blocks 0-8 (BN frozen),0.6883699999999999,0.5171474,2.282029899578324,0.08456821840487412,1.4432824342545645,False
Freeze none (BN frozen),Freeze transformer+proj (BN frozen),0.518251,0.6883699999999999,-2.2675665792774593,0.08595841697852022,-1.434135027318708,False
Freeze backbone,Freeze blocks 0-5,0.9882002,0.982428,2.0502030021663074,0.0932565553842694,1.2966622305121316,False
Freeze none,Freeze backbone,0.976146,0.9882002,-2.1476026389765006,0.093738427479444,-1.358263169630809,False
Freeze none,Freeze backbone+proj+blocks 0-5,0.976146,0.9641766,1.9831897743806697,0.09879557576450378,1.254279343879672,False
Freeze transformer+proj (BN frozen),Freeze blocks 0-3 (BN frozen),0.6883699999999999,0.5286924000000001,2.1080712084696147,0.10013173400712473,1.3332612977175242,False
Freeze none,Freeze blocks 0-11,0.976146,0.9878608,-2.1125244302069883,0.10078710773003215,-1.336077762440699,False
Freeze none,Freeze blocks 0-8,0.976146,0.9876061999999999,-2.053543801801791,0.10613265353154006,-1.2987751377230092,False
Freeze blocks 0-5,Freeze blocks 0-11,0.982428,0.9878608,-2.028364549255537,0.10647621428877783,-1.2828503801576576,False
Freeze none,Freeze backbone+proj,0.976146,0.9875212000000001,-2.0435198874034834,0.10805106384217708,-1.2924354576091674,False
Freeze backbone,Freeze transformer+proj,0.9882002,0.9852292,1.7791700906949213,0.1151216663943002,1.1252459662888599,False
Freeze transformer+proj,Freeze blocks 0-11,0.9852292,0.9878608,-1.844405370533332,0.1198358830993653,-1.1665043799064276,False
Freeze blocks 0-5,Freeze blocks 0-8,0.982428,0.9876061999999999,-1.8824776505213527,0.12067259113508197,-1.1905834040019863,False
Freeze backbone+proj,Freeze blocks 0-5,0.9875212000000001,0.982428,1.8712819612893121,0.12472733091649786,1.1835026284122523,False
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-3,0.9747876,0.9822579999999999,-1.6236776843963108,0.16554742088001068,-1.0269039337360757,False
Freeze transformer+proj,Freeze blocks 0-8,0.9852292,0.9876061999999999,-1.5253447663170854,0.17210289030474477,-0.9647127357158553,False
Freeze backbone+proj,Freeze transformer+proj,0.9875212000000001,0.9852292,1.5212890212931103,0.1764822945103554,0.962147657338924,False
Freeze none,Freeze transformer+proj,0.976146,0.9852292,-1.6018742846620073,0.1772253755424345,-1.0131142529569739,False
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-11 (BN frozen),0.6902378,0.5994056,1.5597253739784505,0.1893261958802722,0.9864569412259648,False
Freeze transformer,Freeze backbone+proj+blocks 0-3,0.9827674,0.9747876,1.4711079922823633,0.20496774131841566,0.930410387937935,False
Freeze transformer+proj (BN frozen),Freeze blocks 0-5 (BN frozen),0.6883699999999999,0.565195,1.3918170772440097,0.20833020196892532,0.8802624100819159,False
Freeze backbone+proj+transformer,Freeze blocks 0-11 (BN frozen),0.68455,0.5994056,1.4583932473094021,0.21345240856208425,0.922368877141388,False
Freeze blocks 0-8 (BN frozen),Freeze blocks 0-11 (BN frozen),0.5171474,0.5994056,-1.4361379201123379,0.2242584847819859,-0.9082933723383854,False
Freeze none (BN frozen),Freeze blocks 0-11 (BN frozen),0.518251,0.5994056,-1.41713334919186,0.22940634173013175,-0.8962738263258029,False
Freeze backbone,Freeze blocks 0-3,0.9882002,0.9822579999999999,1.3325411811267358,0.2467833881738576,0.8427730416662925,False
Freeze blocks 0-3,Freeze blocks 0-11,0.9822579999999999,0.9878608,-1.2809080683844665,0.26735329540076386,-0.8101173938763259,False
Freeze blocks 0-3 (BN frozen),Freeze blocks 0-11 (BN frozen),0.5286924000000001,0.5994056,-1.2147772003582757,0.28738249718483994,-0.7682925605549725,False
Freeze blocks 0-3,Freeze blocks 0-8,0.9822579999999999,0.9876061999999999,-1.2103450009648056,0.28842705084212744,-0.765489391529496,False
Freeze backbone+proj,Freeze blocks 0-3,0.9875212000000001,0.9822579999999999,1.195973426230598,0.294355944122337,0.7564000095848111,False
Freeze blocks 0-3 (BN frozen),Freeze blocks 0-8 (BN frozen),0.5286924000000001,0.5171474,1.0995698531926874,0.3319971326087554,0.695429036509172,False
Freeze none,Freeze blocks 0-5,0.976146,0.982428,-1.0287156948760732,0.3451664854807506,-0.6506169321142393,False
Freeze backbone,Freeze transformer,0.9882002,0.9827674,1.0241366520716233,0.3597064078662516,0.6477208911611461,False
Freeze blocks 0-5 (BN frozen),Freeze blocks 0-8 (BN frozen),0.565195,0.5171474,1.023226149232824,0.363985482612262,0.6471450386038151,False
Freeze transformer (BN frozen),Freeze blocks 0-8 (BN frozen),0.6102714,0.5171474,1.0119202222818695,0.36879846847547576,0.6399945425589152,False
Freeze none (BN frozen),Freeze blocks 0-3 (BN frozen),0.518251,0.5286924000000001,-1.0000000000000042,0.3739009663000572,-0.6324555320336785,False
Freeze none (BN frozen),Freeze transformer (BN frozen),0.518251,0.6102714,-1.0,0.37390096630005887,-0.632455532033676,False
Freeze none (BN frozen),Freeze blocks 0-5 (BN frozen),0.518251,0.565195,-1.0,0.37390096630005887,-0.6324555320336759,False
Freeze none (BN frozen),Freeze blocks 0-8 (BN frozen),0.518251,0.5171474,0.9999999999999799,0.3739009663000675,0.6324555320336631,False
Freeze transformer+proj (BN frozen),Freeze blocks 0-11 (BN frozen),0.6883699999999999,0.5994056,0.9426032083301048,0.37532594771469624,0.5961546136210663,False
Freeze transformer+proj,Freeze blocks 0-5,0.9852292,0.982428,0.9565726765395572,0.3764002164231821,0.6049896810697031,False
Freeze transformer,Freeze blocks 0-11,0.9827674,0.9878608,-0.9732616169587024,0.3843582969650556,-0.6155446937615718,False
Freeze none,Freeze transformer,0.976146,0.9827674,-0.8731668320419137,0.4081002707963536,-0.5522391933132279,False
Freeze transformer,Freeze blocks 0-8,0.9827674,0.9876061999999999,-0.9180543991996789,0.4081171788201426,-0.5806285834816896,False
Freeze none,Freeze blocks 0-3,0.976146,0.9822579999999999,-0.8709256411166563,0.41053392083600004,-0.5508217397142051,False
Freeze backbone+proj,Freeze transformer,0.9875212000000001,0.9827674,0.9045118385221893,0.4150037728068058,0.5720635160633096,False
Freeze transformer (BN frozen),Freeze blocks 0-3 (BN frozen),0.6102714,0.5286924000000001,0.8808791326679044,0.42696233038347026,0.5571168805088424,False
Freeze backbone+proj+blocks 0-11,Freeze transformer (BN frozen),0.6902378,0.6102714,0.863318922002104,0.43547942161033193,0.5460108281295802,False
Freeze backbone+proj+transformer,Freeze transformer (BN frozen),0.68455,0.6102714,0.8011171123197907,0.4667036182479034,0.5066709494934953,False
Freeze blocks 0-3 (BN frozen),Freeze blocks 0-5 (BN frozen),0.5286924000000001,0.565195,-0.7590289327783311,0.48651914296980625,-0.4800520475092726,False
Freeze transformer (BN frozen),Freeze transformer+proj (BN frozen),0.6102714,0.6883699999999999,-0.6577983991817753,0.5298656644324621,-0.41602823652541,False
Freeze transformer+proj,Freeze blocks 0-3,0.9852292,0.9822579999999999,0.6556836466129436,0.5426016224346153,0.41469074956437,False
Freeze backbone,Freeze backbone+proj,0.9882002,0.9875212000000001,0.5332795729791108,0.6097760181729492,0.337275616051195,False
Freeze blocks 0-5 (BN frozen),Freeze blocks 0-11 (BN frozen),0.565195,0.5994056,-0.4620010171347163,0.6568470128428476,-0.2921950990920364,False
